"Codice Ateco 2007",Descrizione,Aggiornamento
85.41.00,Istruzione e formazione tecnica superiore (IFTS),
85.42,Istruzione universitaria e post-universitaria; accademie e conservatori,
85.42.0,Istruzione universitaria e post-universitaria; accademie e conservatori,
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,
85.5,ALTRI SERVIZI DI ISTRUZIONE,
85.51,Corsi sportivi e ricreativi,
85.51.0,Corsi sportivi e ricreativi,
85.51.00,Corsi sportivi e ricreativi,
85.52,Formazione culturale,
85.52.0,Formazione culturale,
85.52.01,Corsi di danza,
85.52.09,Altra formazione culturale,
85.53,Attività delle scuole guida,
85.53.0,"Autoscuole, scuole di pilotaggio e nautiche",
85.53.00,"Autoscuole, scuole di pilotaggio e nautiche",
85.59,Servizi di istruzione nca,
85.59.1,Università popolare,
85.59.10,Università popolare,
85.59.2,Corsi di formazione e corsi di aggiornamento professionale,
85.59.20,Corsi di formazione e corsi di aggiornamento professionale,
85.59.3,Scuole e corsi di lingua,
85.59.30,Scuole e corsi di lingua,
85.59.9,Altri servizi di istruzione nca,
85.59.90,Altri servizi di istruzione nca,
85.6,ATTIVITÀ DI SUPPORTO ALL'ISTRUZIONE,
85.60,Attività di supporto all'istruzione,
85.60.0,Attività di supporto all'istruzione,
85.60.01,Consulenza scolastica e servizi di orientamento scolastico,
85.60.09,Altre attività di supporto all'istruzione,
Q,SANITA' E ASSISTENZA SOCIALE,
86,ASSISTENZA SANITARIA,
86.1,SERVIZI OSPEDALIERI,
86.10,Servizi ospedalieri,
86.10.1,Ospedali e case di cura generici,
86.10.10,Ospedali e case di cura generici,
86.10.2,Ospedali e case di cura specialistici,
86.10.20,Ospedali e case di cura specialistici,
86.10.3,"Istituti, cliniche e policlinici universitari",
86.10.30,"Istituti, cliniche e policlinici universitari",
86.10.4,Ospedali e case di cura per lunga degenza,
86.10.40,Ospedali e case di cura per lunga degenza,
86.2,SERVIZI DEGLI STUDI MEDICI E ODONTOIATRICI,
86.21,Servizi degli studi medici di medicina generale,
86.21.0,Servizi degli studi medici di medicina generale,
86.21.00,Servizi degli studi medici di medicina generale,
86.22,Servizi degli studi medici specialistici,
86.22.0,Studi medici specialistici e poliambulatori,
86.22.01,Prestazioni sanitarie svolte da chirurghi,
86.22.02,Ambulatori e poliambulatori del Servizio Sanitario Nazionale,
86.22.03,Attività dei centri di radioterapia,
86.22.04,Attività dei centri di dialisi,
86.22.05,Studi di omeopatia e di agopuntura,
86.22.06,Centri di medicina estetica,
86.22.09,Altri studi medici specialistici e poliambulatori,
86.23,Attività degli studi odontoiatrici,
86.23.0,Attività degli studi odontoiatrici,
86.23.00,Attività degli studi odontoiatrici,
86.9,ALTRI SERVIZI DI ASSISTENZA SANITARIA,
86.90,Altri servizi di assistenza sanitaria,
86.90.1,"Laboratori di analisi cliniche, laboratori radiografici ed altri centri di diagnostica per immagini",
86.90.11,Laboratori radiografici,
86.90.12,Laboratori di analisi cliniche,
86.90.13,Laboratori di igiene e profilassi,
86.90.2,Attività paramediche indipendenti,
86.90.21,Fisioterapia,
86.90.29,Altre attività paramediche indipendenti nca,
86.90.3,Attività svolta da psicologi,
86.90.30,Attività svolta da psicologi,
86.90.4,"Servizi di ambulanza, delle banche del sangue, degli ambulatori tricologici e altri servizi sanitari nca",
86.90.41,Attività degli ambulatori tricologici,
86.90.42,"Servizi di ambulanza, delle banche del sangue e altri servizi sanitari nca",
87,SERVIZI DI ASSISTENZA SOCIALE RESIDENZIALE,
87.1,STRUTTURE DI ASSISTENZA INFERMIERISTICA RESIDENZIALE,
87.10,Strutture di assistenza infermieristica residenziale,
87.10.0,Strutture di assistenza infermieristica residenziale per anziani,
87.10.00,Strutture di assistenza infermieristica residenziale per anziani,
87.2,"STRUTTURE DI ASSISTENZA RESIDENZIALE PER PERSONE AFFETTE DA RITARDI MENTALI, DISTURBI MENTALI O CHE ABUSANO DI SOSTANZE STUPEFACENTI",
87.20,"Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti",
87.20.0,"Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti",
87.20.00,"Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti",
87.3,STRUTTURE DI ASSISTENZA RESIDENZIALE PER ANZIANI E DISABILI,
87.30,Strutture di assistenza residenziale per anziani e disabili,
87.30.0,Strutture di assistenza residenziale per anziani e disabili,
87.30.00,Strutture di assistenza residenziale per anziani e disabili,
87.9,ALTRE STRUTTURE DI ASSISTENZA SOCIALE RESIDENZIALE,
87.90,Altre strutture di assistenza sociale residenziale,
87.90.0,Altre strutture di assistenza sociale residenziale,
87.90.00,Altre strutture di assistenza sociale residenziale,
88,ASSISTENZA SOCIALE NON RESIDENZIALE,
88.1 ,ASSISTENZA SOCIALE NON RESIDENZIALE PER ANZIANI E DISABILI,
88.10,Assistenza sociale non residenziale per anziani e disabili,
88.10.0,Assistenza sociale non residenziale per anziani e disabili,
88.10.00,Assistenza sociale non residenziale per anziani e disabili,
88.9,ALTRE ATTIVITÀ DI ASSISTENZA SOCIALE NON RESIDENZIALE,
88.91,Servizi di asili nido; assistenza diurna per minori disabili,
88.91.0,Servizi di asili nido; assistenza diurna per minori disabili,
88.91.00,Servizi di asili nido; assistenza diurna per minori disabili,
88.99,Altre attività di assistenza sociale non residenziale nca,
88.99.0,Altre attività di assistenza sociale non residenziale nca,
88.99.00,Altre attività di assistenza sociale non residenziale nca,
R,"ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO",
90,"ATTIVITÀ CREATIVE, ARTISTICHE E DI INTRATTENIMENTO",
90.0,"ATTIVITÀ CREATIVE, ARTISTICHE E DI INTRATTENIMENTO",
90.01,Rappresentazioni artistiche,
90.01.0,Rappresentazioni artistiche,
90.01.01,Attività nel campo della recitazione,
90.01.09,Altre rappresentazioni artistiche,
90.02,Attività di supporto alle rappresentazioni artistiche,
90.02.0,Attività di supporto alle rappresentazioni artistiche,
90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,
90.02.02,Attività nel campo della regia,
90.02.09,Altre attività di supporto alle rappresentazioni artistiche,
90.03,Creazioni artistiche e letterarie,
90.03.0,Creazioni artistiche e letterarie,
90.03.01,Attività dei giornalisti indipendenti,
90.03.02,Attività di conservazione e restauro di opere d'arte,
90.03.09,Altre creazioni artistiche e letterarie,
90.04,Gestione di strutture artistiche,
90.04.0,"Gestione di teatri, sale da concerto e altre strutture artistiche",
90.04.00,"Gestione di teatri, sale da concerto e altre strutture artistiche",
91,"ATTIVITÀ DI BIBLIOTECHE, ARCHIVI, MUSEI ED ALTRE ATTIVITÀ CULTURALI",
91.0,"ATTIVITÀ DI BIBLIOTECHE, ARCHIVI, MUSEI ED ALTRE ATTIVITÀ CULTURALI",
91.01,Attività di biblioteche ed archivi,
91.01.0,Attività di biblioteche ed archivi,
91.01.00,Attività di biblioteche ed archivi,
91.02,Attività di musei,
91.02.0,Attività di musei,
91.02.00,Attività di musei,
91.03,Gestione di luoghi e monumenti storici e attrazioni simili,
91.03.0,Gestione di luoghi e monumenti storici e attrazioni simili,
91.03.00,Gestione di luoghi e monumenti storici e attrazioni simili,
91.04,"Attività degli orti botanici, dei giardini zoologici e delle riserve naturali",
91.04.0,"Attività degli orti botanici, dei giardini zoologici e delle riserve naturali",
91.04.00,"Attività degli orti botanici, dei giardini zoologici e delle riserve naturali",
92,"ATTIVITÀ RIGUARDANTI LE LOTTERIE, LE SCOMMESSE, LE CASE DA GIOCO",
92.0,"ATTIVITÀ RIGUARDANTI LE LOTTERIE, LE SCOMMESSE, LE CASE DA GIOCO",
92.00,"Attività riguardanti le lotterie, le scommesse, le case da gioco",
92.00.0,"Attività riguardanti le lotterie, le scommesse, le case da gioco",
92.00.01,"Ricevitorie del Lotto, SuperEnalotto, Totocalcio eccetera",
92.00.02,Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone,
92.00.09,Altre attività connesse con le lotterie e le scommesse,
93,"ATTIVITÀ SPORTIVE, DI INTRATTENIMENTO E DI DIVERTIMENTO",
93.1,ATTIVITÀ SPORTIVE,
93.11,Gestione di impianti sportivi,
93.11.1,Gestione di stadi,
93.11.10,Gestione di stadi,
93.11.2,Gestione di piscine,
93.11.20,Gestione di piscine,
93.11.3,Gestione di impianti sportivi polivalenti,
93.11.30,Gestione di impianti sportivi polivalenti,
93.11.9,Gestione di altri impianti sportivi nca,
93.11.90,Gestione di altri impianti sportivi nca,
93.12,Attività di club sportivi,
93.12.0,Attività di club sportivi,
93.12.00,Attività di club sportivi,
93.13,Palestre,
93.13.0,Gestione di palestre,
93.13.00,Gestione di palestre,
93.19,Altre attività sportive,
93.19.1,"Enti e organizzazioni sportive, promozione di eventi sportivi",
93.19.10,"Enti e organizzazioni sportive, promozione di eventi sportivi",
93.19.9,Attività sportive nca,
93.19.91,Ricarica di bombole per attività subacquee,
93.19.92,Attività delle guide alpine,
93.19.99,Altre attività sportive nca,
93.2,ATTIVITÀ RICREATIVE E DI DIVERTIMENTO,
93.21,Parchi di divertimento e parchi tematici,
93.21.0,Parchi di divertimento e parchi tematici,
93.21.00,Parchi di divertimento e parchi tematici,
93.29,Altre attività ricreative e di divertimento,
93.29.1,"Discoteche, sale da ballo night-club e simili",
93.29.10,"Discoteche, sale da ballo night-club e simili",
93.29.2,"Gestione di stabilimenti balneari: marittimi, lacuali e fluviali",
93.29.20,"Gestione di stabilimenti balneari: marittimi, lacuali e fluviali",
93.29.3,Sale giochi e biliardi,
93.29.30,Sale giochi e biliardi,
93.29.9,Altre attività di intrattenimento e di divertimento nca,
93.29.90,Altre attività di intrattenimento e di divertimento nca,
S,ALTRE ATTIVITÀ DI SERVIZI,
94,ATTIVITÀ DI ORGANIZZAZIONI ASSOCIATIVE,
94.1,"ATTIVITÀ DI ORGANIZZAZIONI ECONOMICHE, DI DATORI DI LAVORO E PROFESSIONALI",
94.11,Attività di organizzazioni economiche e di datori di lavoro,
94.11.0,"Attività di organizzazione di datori di lavoro, federazioni di industria, commercio, artigianato e servizi, associazioni, unioni, federazioni fra istituzioni",
94.11.00,"Attività di organizzazione di datori di lavoro, federazioni di industria, commercio, artigianato e servizi, associazioni, unioni, federazioni fra istituzioni",
94.12,Attività di organizzazioni associative professionali,
94.12.1,Attività di federazioni e consigli di ordini e collegi professionali,
94.12.10,Attività di federazioni e consigli di ordini e collegi professionali,
94.12.2,Attività di associazioni professionali,
94.12.20,Attività di associazioni professionali,
94.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,
94.20,Attività dei sindacati di lavoratori dipendenti,
94.20.0,Attività dei sindacati di lavoratori dipendenti,
94.20.00,Attività dei sindacati di lavoratori dipendenti,
94.9,ATTIVITÀ DI ALTRE ORGANIZZAZIONI ASSOCIATIVE ,
94.91,Attività delle organizzazioni religiose nell'esercizio del culto,
94.91.0,Attività delle organizzazioni religiose nell'esercizio del culto,
94.91.00,Attività delle organizzazioni religiose nell'esercizio del culto,
94.92,Attività dei partiti e delle associazioni politiche,
94.92.0,Attività dei partiti e delle associazioni politiche,
94.92.00,Attività dei partiti e delle associazioni politiche,
94.99,Attività di altre organizzazioni associative nca,
94.99.1,Attività di organizzazioni per la tutela degli interessi e dei diritti dei cittadini,
94.99.10,Attività di organizzazioni per la tutela degli interessi e dei diritti dei cittadini,
94.99.2,"Attività di organizzazioni che perseguono fini culturali, ricreativi e la coltivazione di hobby",
94.99.20,"Attività di organizzazioni che perseguono fini culturali, ricreativi e la coltivazione di hobby",
94.99.3,Attività di organizzazioni patriottiche e associazioni combattentistiche,
94.99.30,Attività di organizzazioni patriottiche e associazioni combattentistiche,
94.99.4,Attività di organizzazioni per la cooperazione e la solidarietà internazionale,
94.99.40,Attività di organizzazioni per la cooperazione e la solidarietà internazionale,
94.99.5,Attività di organizzazioni per la filantropia,
94.99.50,Attività di organizzazioni per la filantropia,
94.99.6,Attività di organizzazioni per la promozione e la difesa degli animali e dell'ambiente,
94.99.60,Attività di organizzazioni per la promozione e la difesa degli animali e dell'ambiente,
94.99.9,Attività di altre organizzazioni associative nca,
94.99.90,Attività di altre organizzazioni associative nca,
95,RIPARAZIONE DI COMPUTER E DI BENI PER USO PERSONALE E PER LA CASA,
95.1,RIPARAZIONE DI COMPUTER E DI APPARECCHIATURE PER LE COMUNICAZIONI,
95.11,Riparazione di computer e periferiche,
95.11.0,Riparazione e manutenzione di computer e periferiche,
95.11.00,Riparazione e manutenzione di computer e periferiche,
95.12,Riparazione di apparecchiature per le comunicazioni,
95.12.0,Riparazione e manutenzione di apparecchiature per le comunicazioni,
95.12.01,"Riparazione e manutenzione di telefoni fissi, cordless e cellulari",
95.12.09,Riparazione e manutenzione di altre apparecchiature per le comunicazioni,
95.2,RIPARAZIONE DI BENI PER USO PERSONALE E PER LA CASA,
95.21,Riparazione di prodotti elettronici di consumo audio e video,
95.21.0,Riparazione di prodotti elettronici di consumo audio e video,
95.21.00,Riparazione di prodotti elettronici di consumo audio e video,
95.22,Riparazione di elettrodomestici e di articoli per la casa e il giardinaggio,
95.22.0,Riparazione di elettrodomestici e di articoli per la casa e il giardinaggio,
95.22.01,Riparazione di elettrodomestici e di articoli per la casa,
95.22.02,Riparazione di articoli per il giardinaggio,
95.23,Riparazione di calzature e articoli da viaggio,
95.23.0,"Riparazione di calzature e articoli da viaggio in pelle, cuoio o in altri materiali simili",
95.23.00,"Riparazione di calzature e articoli da viaggio in pelle, cuoio o in altri materiali simili",
95.24,Riparazione di mobili e di oggetti di arredamento; laboratori di tappezzeria,
95.24.0,Riparazione di mobili e di oggetti di arredamento; laboratori di tappezzeria,
95.24.01,Riparazione di mobili e di oggetti di arredamento,
95.24.02,Laboratori di tappezzeria,
95.25,Riparazione di orologi e di gioielli,
95.25.0,Riparazione di orologi e di gioielli,
95.25.00,Riparazione di orologi e di gioielli,
95.29,Riparazione di altri beni per uso personale e per la casa,
95.29.0,Riparazione di altri beni per uso personale e per la casa,
95.29.01,Riparazione di strumenti musicali,
95.29.02,Riparazione di articoli sportivi (escluse le armi sportive) e attrezzature da campeggio (incluse le biciclette),
95.29.03,Modifica e riparazione di articoli di vestiario non effettuate dalle sartorie,
95.29.04,"Servizi di riparazioni rapide, duplicazione chiavi, affilatura coltelli, stampa immediata su articoli tessili, incisioni rapide su metallo non prezioso",
95.29.09,Riparazione di altri beni di consumo per uso personale e per la casa nca,
96,ALTRE ATTIVITÀ DI SERVIZI PER LA PERSONA,
96.0,ALTRE ATTIVITÀ DI SERVIZI PER LA PERSONA,
96.01,Lavanderia e pulitura di articoli tessili e pelliccia,
96.01.1,Attività delle lavanderie industriali,
96.01.10,Attività delle lavanderie industriali,
96.01.2,"Altre lavanderie, tintorie",
96.01.20,"Altre lavanderie, tintorie",
96.02,Servizi dei parrucchieri e di altri trattamenti estetici,
96.02.0,"Servizi degli acconciatori, manicure, pedicure e trattamenti estetici",
96.02.01,Servizi dei saloni di barbiere e parrucchiere,
96.02.02,Servizi degli istituti di bellezza,
96.02.03,Servizi di manicure e pedicure,
96.03,Servizi di pompe funebri e attività connesse,
96.03.0,Servizi di pompe funebri e attività connesse,
96.03.00,Servizi di pompe funebri e attività connesse,
96.04,Servizi dei centri per il benessere fisico,
96.04.1,Servizi di centri per il benessere fisico (esclusi gli stabilimenti termali),
96.04.10,Servizi di centri per il benessere fisico (esclusi gli stabilimenti termali),
96.04.2,Stabilimenti termali,
96.04.20,Stabilimenti termali,
96.09,Attività di servizi per la persona nca,
96.09.0,Attività di servizi per la persona nca,
96.09.01,"Attività di sgombero di cantine, solai e garage",
96.09.02,Attività di tatuaggio e piercing,
96.09.03,Agenzie matrimoniali e d'incontro,
96.09.04,Servizi di cura degli animali da compagnia (esclusi i servizi veterinari),
